individual,matched_arms,top_vote_count,n_top_tied,top_candidates,n_G3_ever_matched
K200080,2,1,2,NA12879;NA12884,2
K200081,4,2,2,NA12879;NA12884,3
K200082,5,4,1,NA12879,7
K200084,6,5,1,NA12879,8
K200085,3,2,2,NA12879;NA12884,5
K200086,1,1,6,NA12879;NA12881;NA12882;NA12884;NA12885;NA12886,6
K200087,3,2,4,NA12879;NA12881;NA12884;NA12886,7
